Year,Club,Trophies,Squad,AverageAge,Foreigners,TotalMarketValue,AverageMarketValue,Position
20/21,LiverpoolFC,0,29,26.2,23,£978.93m,£33.76m,0
20/21,ManchesterCity,0,27,25.9,19,£944.46m,£34.98m,0
20/21,ChelseaFC,0,32,26.3,24,£766.60m,£23.96m,0
20/21,ManchesterUnited,0,30,26.7,19,£731.88m,£24.40m,0
20/21,TottenhamHotspur,0,29,26.6,20,£680.45m,£23.46m,0
20/21,ArsenalFC,0,31,25.9,22,£562.46m,£18.14m,0
19/20,ManchesterCity,0,34,24.1,23,£1.15bn,£33.71m,2
19/20,LiverpoolFC,0,35,24.5,22,£976.28m,£27.89m,1
19/20,TottenhamHotspur,0,36,23.8,22,£937.80m,£26.05m,6
19/20,ChelseaFC,0,33,23.6,22,£717.30m,£21.74m,4
19/20,ManchesterUnited,0,43,22.9,24,£697.68m,£16.23m,3
19/20,ArsenalFC,0,38,23.3,23,£612.50m,£16.12m,8
18/19,ManchesterCity,0,46,23.3,33,£948.83m,£20.63m,1
18/19,ChelseaFC,0,54,24.6,40,£941.63m,£17.44m,3
18/19,LiverpoolFC,0,39,23.8,25,£810.09m,£20.77m,2
18/19,ManchesterUnited,0,36,24.4,22,£749.70m,£20.83m,6
18/19,TottenhamHotspur,0,34,24.5,20,£737.64m,£21.70m,4
18/19,ArsenalFC,0,42,23.9,28,£533.97m,£12.71m,5
17/18,ChelseaFC,0,46,23.7,33,£584.69m,£12.71m,5
17/18,ManchesterUnited,0,35,25.1,22,£580.59m,£16.59m,2
17/18,ArsenalFC,0,45,23.8,27,£570.51m,£12.68m,6
17/18,ManchesterCity,0,32,24.1,21,£554.72m,£17.33m,1
17/18,TottenhamHotspur,0,34,23.8,22,£481.82m,£14.17m,3
17/18,LiverpoolFC,0,35,24.0,21,£445.50m,£12.73m,4
16/17,ManchesterCity,0,44,24.7,36,£559.26m,£12.71m,3
16/17,ChelseaFC,0,49,23.8,41,£542.97m,£11.08m,1
16/17,ManchesterUnited,0,42,23.5,24,£479.93m,£11.43m,6
16/17,ArsenalFC,0,42,23.7,26,£470.48m,£11.20m,5
16/17,LiverpoolFC,0,38,23.4,23,£354.74m,£9.34m,4
16/17,TottenhamHotspur,0,38,22.7,20,£346.95m,£9.13m,2
15/16,ChelseaFC,0,40,23.7,30,£521.82m,£13.05m,10
15/16,ManchesterCity,0,38,24.4,27,£407.48m,£10.72m,4
15/16,ArsenalFC,0,41,23.7,29,£367.74m,£8.97m,2
15/16,ManchesterUnited,0,44,22.5,23,£336.74m,£7.65m,5
15/16,LiverpoolFC,0,44,22.5,25,£292.50m,£6.65m,8
15/16,TottenhamHotspur,0,31,22.7,16,£228.38m,£7.37m,3
14/15,ChelseaFC,0,38,23.9,28,£473.49m,£12.46m,1
14/15,ManchesterUnited,0,43,23.9,25,£470.16m,£10.93m,4
14/15,ManchesterCity,0,36,25.4,29,£430.20m,£11.95m,2
14/15,ArsenalFC,0,42,23.0,29,£363.92m,£8.66m,3
14/15,TottenhamHotspur,0,42,23.7,25,£268.43m,£6.39m,5
14/15,LiverpoolFC,0,35,23.4,21,£256.50m,£7.33m,6
13/14,ChelseaFC,0,48,23.8,40,£524.68m,£10.93m,3
13/14,ManchesterUnited,0,34,24.9,24,£460.58m,£13.55m,7
13/14,ManchesterCity,0,27,25.7,21,£431.10m,£15.97m,1
13/14,ArsenalFC,0,37,23.8,30,£299.43m,£8.09m,4
13/14,TottenhamHotspur,0,36,23.4,21,£266.40m,£7.40m,6
13/14,LiverpoolFC,0,31,23.8,22,£245.25m,£7.91m,2
12/13,ManchesterCity,0,38,24.0,27,£459.14m,£12.08m,2
12/13,ManchesterUnited,0,36,24.1,22,£400.05m,£11.11m,1
12/13,ChelseaFC,0,31,25.3,22,£367.65m,£11.86m,3
12/13,TottenhamHotspur,0,35,25.1,16,£278.57m,£7.96m,5
12/13,ArsenalFC,0,36,23.8,30,£264.38m,£7.34m,4
12/13,LiverpoolFC,0,38,22.8,19,£247.91m,£6.52m,7























































